risk_id,quality_attribute,description,cause,impact_1_5,probability_1_5,score,why_this_score,scenario_ref,evidence_ref,status
R001,Reliability,Pérdida de datos de reservas en base de datos,Fallo de persistencia o corrupción de datos durante transacciones,5,4,20,Impacto crítico (perdida total de datos) combinado con alta probabilidad en sistemas sin backups automatizados,quality/scenarios.md#Q5,evidence/week3/persistency_test_20260128_143022.log; evidence/week3/RUNLOG.md#test-1-q5--persistency-r001,TOP3
R002,Security,Acceso no autorizado a reservas sin autenticación adecuada,Token de autenticación débil o validación insuficiente en endpoints de actualización,5,3,15,Impacto crítico (exposición de datos sensibles) aunque probabilidad media si hay validación básica,quality/scenarios.md#Q7,evidence/week3/authentication_failure_20260128_143245.log; evidence/week3/RUNLOG.md#test-3-q7--authentication-failure-r002,TOP3
R003,Performance,Degradación de performance bajo carga concurrente de múltiples reservas,Falta de manejo de conexiones concurrentes o índices en base de datos,4,4,16,Alto impacto en experiencia de usuario con probabilidad alta en APIs REST sin optimización de concurrencia,quality/scenarios.md#Q6,evidence/week3/concurrent_load_test_20260128_143145.log; evidence/week3/RUNLOG.md#test-2-q6--concurrent-load-r003,TOP3
R004,Availability,Indisponibilidad del servicio por fallos no manejados en endpoints,Excepciones no capturadas o manejo deficiente de errores HTTP,4,3,12,Alto impacto en negocio pero probabilidad moderada si hay validación básica de entrada,quality/scenarios.md#Q2,evidence/week2/,BACKLOG
R005,Compatibility,Inconsistencia en respuestas JSON entre versiones de API,Cambios en estructura de datos sin versionado de API,3,3,9,Impacto moderado en integraciones de clientes con probabilidad media sin políticas de compatibilidad,quality/scenarios.md#Q2,evidence/week2/getBookingById.log,BACKLOG
R006,Correctness,Actualización parcial de reserva (falta de transacción atómica),Lógica de UPDATE que no garantiza atomicidad en todos los campos,3,4,12,Impacto moderado (datos inconsistentes) con probabilidad alta en operaciones multi-campo sin transacciones,quality/scenarios.md#Q3,evidence/week2/updateBooking.log,BACKLOG
R007,Maintainability,Dificultad para identificar y reparar fallos en código monolítico,Falta de modularización y bajo nivel de cobertura de pruebas,2,3,6,Impacto bajo a medio durante mantenimiento con probabilidad media en código heredado,quality/scenarios.md#Q1-Q4,evidence/week2/,BACKLOG
R008,Functional Correctness,Eliminación de reserva falla silenciosamente devolviendo HTTP 201 incorrecto,Error en código que retorna código de estado incorrecto para operación DELETE,3,2,6,Impacto moderado (dato no eliminado pero usuario cree que sí) con probabilidad baja si hay pruebas de regresión,quality/scenarios.md#Q4,evidence/week2/deleteBooking.log,BACKLOG
R009,Security,Inyección de datos en campos de reserva (SQLi o NoSQLi),Validación insuficiente de entrada de datos firstname/lastname o campos adicionales,4,2,8,Impacto alto en seguridad pero probabilidad baja si hay sanitización básica en API,quality/scenarios.md#Q1,evidence/week2/createBooking.log,BACKLOG
R010,Functional Correctness,Búsqueda de reserva por ID devuelve datos de otra reserva,Fallo en lógica de filtrado o índices corruptos en consultas GET,2,2,4,Impacto bajo (afecta caso específico) con probabilidad muy baja en esquemas de datos simples,quality/scenarios.md#Q2,evidence/week2/getBookingById.log,BACKLOG
